Time,time,deltaX,deltaY,range,surfaceQuality
1638389472.4506662,1638389472463752403,15,-6,8191,111
1638389472.550361,1638389472563855519,16,-5,8191,104
1638389472.6516078,1638389472664105988,16,3,8191,110
1638389472.7383783,1638389472751635827,15,5,8190,110
1638389472.851592,1638389472864783183,14,5,8191,109
1638389472.9405093,1638389472952341931,5,13,8190,114
1638389473.0383604,1638389473051668962,16,1,8190,114
1638389473.1385884,1638389473151799420,29,0,8190,108
1638389473.2384596,1638389473251887428,16,0,8190,110
1638389473.3387182,1638389473351887514,7,3,8190,108
1638389473.4515288,1638389473464248990,30,8,8191,109
1638389473.5508878,1638389473564501955,30,9,8191,106
1638389473.6514971,1638389473665088999,26,11,8191,103
1638389473.7361252,1638389473749660709,26,2,8190,95
1638389473.851764,1638389473865304913,36,-8,8191,103
1638389473.936889,1638389473950438840,42,-9,8190,97
1638389474.0501947,1638389474063456026,12,-13,8191,91
1638389474.139243,1638389474152277750,25,-11,8190,97
1638389474.2368016,1638389474250394712,22,-20,8190,96
1638389474.3500695,1638389474363392832,29,-12,8190,94
1638389474.436901,1638389474450469933,19,-10,8190,94
1638389474.556568,1638389474569799381,29,4,8191,100
1638389474.639134,1638389474652708394,33,-12,8190,110
1638389474.7509804,1638389474764233468,35,-13,8191,102
1638389474.8388634,1638389474852412033,38,-11,8190,87
1638389474.9506876,1638389474963962577,35,-11,8191,96
1638389475.0386548,1638389475052207758,41,-8,8190,111
1638389475.1509871,1638389475164730380,49,-5,8191,100
1638389475.2378752,1638389475251195049,31,9,8190,87
1638389475.3772552,1638389475364847315,25,8,8191,89
1638389475.4377062,1638389475451274377,15,2,8190,87
1638389475.5383482,1638389475551279195,0,-2,8190,91
1638389475.6506548,1638389475664074332,-4,0,8191,90
1638389475.7372885,1638389475750607025,-4,0,8190,88
1638389475.8496814,1638389475863090062,0,0,8191,92
1638389475.9364924,1638389475949876049,0,0,8190,95
1638389476.049146,1638389476062775304,-1,0,8191,88
1638389476.138146,1638389476151762812,2,-3,8190,92
1638389476.2494016,1638389476262864833,21,0,8191,95
1638389476.3504398,1638389476364125080,32,-3,8191,107
1638389476.4501839,1638389476463808836,29,-6,8191,96
1638389476.5551014,1638389476550471272,26,-8,8190,80
1638389476.6518419,1638389476664253332,20,0,8191,100
1638389476.7376027,1638389476751298028,26,-8,8190,111
1638389476.851304,1638389476864796636,24,-8,8191,111
1638389476.95159,1638389476964995263,23,-9,8191,101
1638389477.0492756,1638389477062956268,29,-9,8191,95
1638389477.1364639,1638389477149761521,16,-7,8190,92
1638389477.2508912,1638389477264354818,13,1,8191,97
1638389477.3520513,1638389477365170506,17,-4,8191,96
1638389477.450699,1638389477463986868,18,-5,8191,99
1638389477.538675,1638389477552149693,24,-1,8190,92
1638389477.6517386,1638389477665235722,33,8,8191,86
1638389477.7387848,1638389477752355836,33,5,8190,84
1638389477.838767,1638389477852061047,29,10,8190,83
1638389477.938593,1638389477952099193,17,-1,8190,81
1638389478.051555,1638389478064873433,18,-19,8191,78
1638389478.1360526,1638389478149833272,10,-18,8190,85
1638389478.2505996,1638389478264004927,0,7,8191,101
1638389478.3515518,1638389478364945982,17,5,8191,117
1638389478.4490707,1638389478462697909,24,-7,8191,123
1638389478.538711,1638389478552045898,24,0,8190,131
1638389478.6530886,1638389478665084212,17,5,8190,145
1638389478.7365887,1638389478750017591,18,1,8190,137
1638389478.8523936,1638389478864812301,13,1,8191,129
1638389478.938579,1638389478952078617,16,3,8190,120
1638389479.0377257,1638389479050712360,14,-3,8190,116
1638389479.1514027,1638389479165139702,11,0,8191,122
1638389479.2515867,1638389479265278731,17,4,8191,127
1638389479.3392968,1638389479352448633,28,1,8190,128
1638389479.4539313,1638389479467692894,36,-1,8191,131
1638389479.5375707,1638389479550966442,12,4,8190,125
1638389479.6386278,1638389479651984320,26,-3,8190,119
1638389479.7391238,1638389479751908442,26,-4,8190,137
1638389479.8515704,1638389479865119886,22,5,8191,146
1638389479.9526007,1638389479965120054,27,6,8190,148
1638389480.051207,1638389480065008703,26,12,8191,140
1638389480.1395714,1638389480153135423,22,3,8190,118
1638389480.2525432,1638389480265946112,27,9,8191,108
1638389480.339505,1638389480352909801,20,6,8190,126
1638389480.4533782,1638389480467007070,18,1,8191,124
1638389480.540168,1638389480553864868,19,1,8190,111
1638389480.6522803,1638389480665678889,23,-6,8191,116
1638389480.751747,1638389480765299033,22,-12,8191,118
1638389480.838122,1638389480851932444,21,-5,8190,115
1638389480.9381225,1638389480952033395,12,2,8190,111
1638389481.0409029,1638389481054490980,13,2,8190,112
1638389481.1408517,1638389481154257742,11,-2,8190,110
1638389481.2909834,1638389481253774909,3,2,8190,109
1638389481.341671,1638389481354663189,6,0,8190,109
1638389481.443424,1638389481454357448,1,-1,8190,105
1638389481.5396242,1638389481553348388,4,4,8190,105
1638389481.642187,1638389481655755656,16,4,8190,109
1638389481.7574217,1638389481770761927,18,0,8191,110
1638389481.8409684,1638389481853441739,23,3,8190,123
1638389481.9418366,1638389481955231109,33,11,8190,139
1638389482.0500042,1638389482063821881,29,6,8191,138
1638389482.150374,1638389482164008558,31,2,8191,116
1638389482.2965784,1638389482264347430,31,7,8191,113
1638389482.342686,1638389482354685511,18,18,8190,128
1638389482.4547644,1638389482468213835,43,18,8191,130
1638389482.5417583,1638389482555252730,32,11,8190,109
1638389482.641887,1638389482655188404,34,14,8190,102
1638389482.7413843,1638389482755098400,23,14,8190,94
1638389482.8512156,1638389482865043460,20,4,8191,93
1638389482.9524524,1638389482965680422,27,7,8191,100
1638389483.0613322,1638389483066136069,15,5,8191,119
1638389483.1390722,1638389483152650663,33,-1,8190,90
1638389483.25099,1638389483264287007,26,2,8191,88
1638389483.337806,1638389483351099793,26,10,8190,97
1638389483.4372118,1638389483450911863,24,7,8190,99
1638389483.537615,1638389483551279328,22,4,8190,112
1638389483.6373281,1638389483651161350,26,-3,8190,104
1638389483.7514367,1638389483764819936,25,2,8191,101
1638389483.8512697,1638389483865251883,24,2,8191,102
1638389483.9519222,1638389483965299226,26,5,8191,103
1638389484.0382001,1638389484052006797,15,12,8190,104
1638389484.149855,1638389484163703661,19,7,8190,124
1638389484.2361877,1638389484249886150,24,10,8190,135
1638389484.3507884,1638389484364181538,25,21,8191,125
1638389484.4519067,1638389484465120539,21,1,8191,114
1638389484.5518193,1638389484565275541,23,9,8191,121
1638389484.6496034,1638389484663350067,23,4,8191,140
1638389484.750628,1638389484764313028,18,3,8191,146
1638389484.8526433,1638389484864442039,27,6,8190,148
1638389484.9513533,1638389484965102849,23,3,8191,142
1638389485.05142,1638389485065466922,24,6,8191,131
1638389485.1515956,1638389485165604367,22,5,8191,123
1638389485.252103,1638389485265720248,23,8,8191,140
1638389485.3524985,1638389485366042286,25,6,8191,145
1638389485.4388106,1638389485452861004,26,8,8190,138
1638389485.5518012,1638389485565613337,24,9,8191,126
1638389485.6506934,1638389485664349145,23,9,8191,118
1638389485.7505457,1638389485764456068,21,4,8191,111
1638389485.837708,1638389485851404168,24,6,8190,118
1638389485.9377668,1638389485951266077,20,10,8190,124
1638389486.0502834,1638389486064305663,25,0,8191,120
1638389486.1408296,1638389486151467000,23,1,8190,109
1638389486.2375312,1638389486251332239,29,4,8190,103
1638389486.3373995,1638389486351168102,22,5,8190,116
1638389486.4375582,1638389486451212049,22,9,8190,120
1638389486.5379815,1638389486551710864,27,6,8190,131
1638389486.6510057,1638389486665017597,27,8,8191,144
1638389486.751152,1638389486764806895,21,5,8191,140
1638389486.8511589,1638389486864689323,26,13,8191,121
1638389486.9667966,1638389486951613304,21,-3,8190,119
1638389487.0507889,1638389487064371308,27,8,8191,124
1638389487.1378481,1638389487151554622,23,5,8190,130
1638389487.252339,1638389487264957815,25,13,8191,133
1638389487.3374145,1638389487351486147,29,10,8190,114
1638389487.4375799,1638389487451411230,28,8,8190,106
1638389487.5379553,1638389487551401212,25,10,8190,97
1638389487.650104,1638389487663986705,27,1,8191,85
1638389487.7514346,1638389487764959917,25,6,8191,98
1638389487.851911,1638389487865332367,22,6,361,108
1638389487.9392638,1638389487952343277,16,6,8190,110
1638389488.0530543,1638389488065137476,28,-3,8191,98
1638389488.1385014,1638389488152032544,27,7,8190,91
1638389488.250807,1638389488264692308,23,9,8191,98
1638389488.3386068,1638389488352192667,24,8,8190,100
1638389488.4380975,1638389488451733976,21,7,8190,108
1638389488.5380466,1638389488551408678,21,2,8190,104
1638389488.6509302,1638389488664528831,24,8,8191,107
1638389488.7379456,1638389488751576302,16,7,8190,100
1638389488.8379765,1638389488851437784,23,7,8190,107
1638389488.9375675,1638389488951382136,22,8,8190,107
1638389489.0508342,1638389489064444888,16,11,8191,123
1638389489.1376283,1638389489151605435,25,8,8190,131
1638389489.2877085,1638389489264493332,27,10,8191,131
1638389489.3369663,1638389489351032908,21,7,8190,123
1638389489.436648,1638389489450654583,17,7,8190,127
1638389489.5375593,1638389489551560336,23,4,8190,129
1638389489.6380177,1638389489651916841,23,5,8190,147
1638389489.7381725,1638389489751769310,18,3,8190,149
1638389489.8381417,1638389489851679177,26,4,8190,150
1638389489.9524677,1638389489965740209,17,5,8191,147
1638389490.0377805,1638389490051243791,18,6,8190,127
1638389490.1405087,1638389490151820930,14,5,8190,131
1638389490.2508733,1638389490264799505,20,3,8191,145
1638389490.3382487,1638389490351827906,28,0,8190,149
1638389490.4507332,1638389490464812576,20,9,8191,139
1638389490.5378728,1638389490551992079,26,8,8190,126
1638389490.6510541,1638389490665014771,20,8,8190,117
1638389490.7403984,1638389490754212818,19,5,8190,111
1638389490.8390017,1638389490852653438,23,8,8190,121
1638389490.9396038,1638389490952601428,22,9,8190,119
1638389491.0385463,1638389491052606139,27,6,8190,120
1638389491.1386268,1638389491152626317,28,5,8190,105
1638389491.252675,1638389491265840318,24,1,8191,111
1638389491.3389397,1638389491353158680,25,2,8190,116
1638389491.437407,1638389491451385690,30,9,8190,128
