Time,time,range
1638389598.8881998,1638389598903095657,2451
1638389598.9857268,1638389599000766081,2249
1638389599.0866036,1638389599101686939,2648
1638389599.1843905,1638389599199426864,2852
1638389599.2845654,1638389599299465081,2687
1638389599.3885663,1638389599399368145,2999
1638389599.5587175,1638389599572621516,2983
1638389599.6563642,1638389599669562653,2762
1638389599.7553668,1638389599769874616,2615
1638389599.8553526,1638389599870178662,2626
1638389599.9193792,1638389599934127887,2646
1638389600.0203667,1638389600035026096,2659
1638389600.1216505,1638389600136383219,2575
1638389600.2207482,1638389600234716698,2479
1638389600.3196156,1638389600334094481,2397
1638389600.4191294,1638389600434059232,2212
1638389600.5186348,1638389600529686665,2193
1638389600.6152372,1638389600629354234,1983
1638389600.7148383,1638389600729168728,2087
1638389600.771004,1638389600785855023,2667
1638389600.871466,1638389600885643736,2782
1638389600.9691958,1638389600983781280,2700
1638389601.0686178,1638389601083339287,3189
1638389601.1685734,1638389601183303592,1805
1638389601.3078456,1638389601322740337,261
1638389601.365763,1638389601380712143,707
1638389601.4652452,1638389601480123698,738
1638389601.5675058,1638389601582249684,811
1638389601.6697047,1638389601683642611,1062
1638389601.8053186,1638389601819325255,2059
1638389601.9045012,1638389601919196593,1931
1638389602.1247113,1638389602018993041,2154
1638389602.134473,1638389602118183267,1992
1638389602.1614373,1638389602176400499,2081
1638389602.2589023,1638389602273610759,2024
1638389602.358843,1638389602373780240,2025
1638389602.4566138,1638389602471450649,2045
1638389602.559156,1638389602573892226,2055
1638389602.659744,1638389602674348629,2079
1638389602.7540417,1638389602768967320,2069
1638389602.85416,1638389602869111280,2079
1638389602.9519417,1638389602966843511,2046
1638389603.0516264,1638389603066567805,2006
1638389603.1600096,1638389603174800245,2040
1638389603.282135,1638389603263893269,2055
1638389603.3585613,1638389603372878092,2052
1638389603.4495163,1638389603464015352,2023
1638389603.5491965,1638389603563937932,2213
1638389603.6580606,1638389603672926296,2437
1638389603.7862232,1638389603801109440,2761
1638389603.8497403,1638389603863287138,2849
1638389603.9488492,1638389603963490912,1839
1638389604.0597107,1638389604074162858,1544
1638389604.1610239,1638389604175729495,1954
1638389604.247946,1638389604262766636,2206
1638389604.3499966,1638389604364652799,1688
1638389604.442331,1638389604456865218,3880
1638389604.5423152,1638389604557115420,4466
1638389604.6573818,1638389604672077719,3621
1638389604.745939,1638389604759051996,3743
1638389604.8430958,1638389604857857899,3645
1638389604.9455183,1638389604959475629,3675
1638389605.0554981,1638389605069442193,3645
1638389605.154518,1638389605169282215,3701
1638389605.2435052,1638389605258374498,3730
1638389605.3558788,1638389605369513865,3328
1638389605.4554002,1638389605469391282,1175
1638389605.5418668,1638389605556194488,1160
1638389605.6448977,1638389605659291539,1434
1638389605.7462933,1638389605759808113,1689
1638389605.8621795,1638389605871309140,2335
1638389605.971008,1638389605984765136,222
1638389606.0458362,1638389606058437581,1985
1638389606.1428876,1638389606157741748,1645
1638389606.2432623,1638389606257990952,2121
1638389606.344096,1638389606357961567,1472
1638389606.4434216,1638389606458101866,1718
1638389606.5204296,1638389606535201342,968
1638389606.620343,1638389606635080657,1370
1638389606.7206256,1638389606734943044,1615
1638389606.8187182,1638389606832977180,1769
1638389606.9183068,1638389606932708736,1279
1638389607.017951,1638389607032658473,1385
1638389607.1160338,1638389607130597840,1347
1638389607.2163556,1638389607230678527,1695
1638389607.3156505,1638389607330194640,1588
1638389607.4141128,1638389607428557907,1605
1638389607.5586796,1638389607530903558,1192
1638389607.614246,1638389607628186477,1500
1638389607.7652938,1638389607726746929,1191
1638389607.8141763,1638389607828920134,1490
1638389607.9121692,1638389607926495497,1688
1638389608.0125268,1638389608026690875,1699
1638389608.1082318,1638389608122632119,1352
1638389608.2107415,1638389608222275804,1198
1638389608.307128,1638389608321825115,1604
1638389608.4053197,1638389608419883565,1241
1638389608.5061228,1638389608519780631,1088
1638389608.603194,1638389608617881424,1096
1638389608.7029974,1638389608717796927,989
1638389608.8024342,1638389608815812877,3521
1638389608.904234,1638389608916238685,1792
1638389609.0148077,1638389609013459025,951
1638389609.099069,1638389609113288302,1118
1638389609.1989,1638389609213186588,1875
1638389609.2995672,1638389609313595855,2254
1638389609.3964174,1638389609410716216,2669
1638389609.4965954,1638389609510683147,3385
1638389609.5957966,1638389609610169981,3258
1638389609.6963782,1638389609710213994,3006
1638389609.795869,1638389609810380140,3541
1638389609.895963,1638389609910087752,2958
1638389609.9939644,1638389610006094329,3356
1638389610.0978093,1638389610112448579,3060
1638389610.189269,1638389610203826340,3236
1638389610.2895808,1638389610304076466,2935
1638389610.3885663,1638389610402074751,2910
1638389610.4903662,1638389610501486243,2985
1638389610.5881567,1638389610602001052,3270
1638389610.6850917,1638389610699369763,3065
1638389610.7844489,1638389610799081146,2951
1638389610.883021,1638389610897414999,2982
1638389611.0195901,1638389610997228985,2949
1638389611.0830252,1638389611097309706,3212
1638389611.1832814,1638389611194848748,3446
1638389611.2806847,1638389611295152228,3321
1638389611.379102,1638389611392851008,3288
1638389611.482264,1638389611495472160,2929
1638389611.57903,1638389611593468279,2464
1638389611.6801336,1638389611693549366,2808
1638389611.7802272,1638389611794315026,2525
1638389611.8745294,1638389611888840520,2913
1638389611.9773104,1638389611988816974,3028
1638389612.0732098,1638389612086740976,2198
1638389612.1751244,1638389612186725784,2184
1638389612.272197,1638389612286664291,3179
1638389612.36987,1638389612384108460,2579
1638389612.4692478,1638389612483889104,3185
1638389612.569395,1638389612584020890,3069
1638389612.6670983,1638389612681675785,2643
1638389612.7674222,1638389612782014129,2813
1638389612.865825,1638389612880304171,3290
1638389612.9663615,1638389612980573870,2248
1638389613.0638633,1638389613078261229,2409
1638389613.1639216,1638389613178377150,2682
1638389613.2701876,1638389613284537670,2815
1638389613.3631063,1638389613377528228,3145
1638389613.4640522,1638389613478471116,2424
1638389613.564954,1638389613578496310,2708
1638389613.6629841,1638389613676221538,2573
1638389613.7615688,1638389613775779446,3305
1638389613.861747,1638389613875444437,2991
1638389613.957085,1638389613971663437,3118
1638389614.056776,1638389614071281359,2427
1638389614.1579962,1638389614172424214,3419
1638389614.256809,1638389614271144604,3257
1638389614.3583374,1638389614372193034,3112
1638389614.453288,1638389614466390156,3376
1638389614.5514202,1638389614565895066,3090
1638389614.6509688,1638389614665457163,2675
1638389614.7910292,1638389614765182539,3469
1638389614.8582344,1638389614871964791,2544
1638389614.9580169,1638389614971918809,3118
1638389615.0578387,1638389615071949351,2229
1638389615.1486435,1638389615162067594,2145
1638389615.2488112,1638389615262242151,1966
1638389615.3581357,1638389615372325785,2063
1638389615.4481826,1638389615462289082,2015
1638389615.5602467,1638389615574325657,1986
1638389615.646923,1638389615661282904,1823
1638389615.758603,1638389615772945057,2022
1638389615.8456385,1638389615859598193,1623
1638389615.965271,1638389615975647732,1639
1638389616.0545082,1638389616059012176,1244
1638389616.1585205,1638389616172574900,1653
1638389616.2429874,1638389616257453392,1491
1638389616.3452103,1638389616357939476,1512
1638389616.4471467,1638389616460960629,1262
1638389616.5599487,1638389616574159035,1540
1638389616.6444402,1638389616658222069,1339
1638389616.7548525,1638389616769245610,1395
